anime_id,title
1,Spirited Away
2,Mushi-Shi: Bell Droplets
3,Grave of the Fireflies
4,Princess Mononoke
5,Your Name.
6,Neon Genesis Evangelion: The End of Evangelion
7,The House of Small Cubes
8,Howl's Moving Castle
9, My Neighbor Totoro
10,Wolf Children
11,A Silent Voice: The Movie
12,Kuroko's Basketball: Last Game
13,Akira
14, Nausicaä of the Valley of the Wind
15,Castle in the Sky
16,The Tale of The Princess Kaguya
17, Barefoot Gen
18, The Disappearance of Haruhi Suzumiya
19,The Garden of Sinners: Paradox Spiral
20,Ghost in the shell
21,Whisper of the heart
22,To the Forest of Firefly Lights
23,One Piece Film Z
24,Gundam Wing: The Movie - Endless Waltz 
25,Puella Magi Madoka Magica the Movie Part 2: Eternal
26,Kizumonogatari Part 3: Reiketsu
